"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000094615",0,0,1,0,0,2,0
"ENSMUSG00000094616",0,0,0,0,0,0,0
"ENSMUSG00000094618",0,0,0,0,1,0,1
"ENSMUSG00000094619",0,0,0,0,0,0,0
"ENSMUSG00000094620",0,0,0,0,0,0,0
"ENSMUSG00000094621",0,0,1,0,0,0,1
"ENSMUSG00000094622",0,0,0,0,0,0,0
"ENSMUSG00000094623",0,0,0,0,0,0,0
"ENSMUSG00000094624",0,0,0,0,0,0,0
"ENSMUSG00000094625",0,0,0,0,0,0,0
"ENSMUSG00000094626",2,2,0,7,2,8,10
"ENSMUSG00000094627",1,0,1,0,0,1,1
"ENSMUSG00000094628",3,14,2,9,0,2,1
"ENSMUSG00000094630",0,0,0,0,0,0,0
"ENSMUSG00000094631",0,0,0,0,0,0,0
"ENSMUSG00000094632",0,0,0,0,0,0,0
"ENSMUSG00000094634",0,0,2,0,0,0,0
"ENSMUSG00000094635",0,0,0,0,0,0,0
"ENSMUSG00000094636",0,0,0,0,0,0,0
"ENSMUSG00000094637",0,0,0,0,0,0,0
"ENSMUSG00000094638",0,0,0,0,0,0,0
"ENSMUSG00000094639",0,0,0,0,0,0,0
"ENSMUSG00000094641",0,0,0,0,0,0,0
"ENSMUSG00000094642",0,0,0,0,0,0,0
"ENSMUSG00000094643",0,0,0,0,0,0,0
"ENSMUSG00000094647",0,0,0,0,0,0,0
"ENSMUSG00000094648",0,0,0,0,0,0,0
"ENSMUSG00000094649",0,2,1,6,1,0,2
"ENSMUSG00000094650",6,5,1,7,7,10,6
"ENSMUSG00000094651",0,0,0,2,0,7,5
"ENSMUSG00000094652",2,10,0,0,9,9,3
"ENSMUSG00000094654",0,0,0,0,0,0,0
"ENSMUSG00000094655",0,0,0,0,0,0,2
"ENSMUSG00000094656",0,0,0,0,0,0,0
"ENSMUSG00000094657",0,0,0,0,0,0,0
"ENSMUSG00000094658",0,0,0,0,0,0,0
"ENSMUSG00000094659",0,0,0,0,0,0,0
"ENSMUSG00000094660",0,0,0,0,0,0,0
"ENSMUSG00000094661",0,0,0,0,0,0,0
"ENSMUSG00000094662",0,0,0,0,0,0,0
"ENSMUSG00000094663",0,0,0,0,0,0,1
"ENSMUSG00000094664",0,0,0,0,0,0,0
"ENSMUSG00000094665",2,0,0,0,2,0,0
"ENSMUSG00000094667",0,0,0,0,0,0,0
"ENSMUSG00000094668",0,0,0,0,0,0,0
"ENSMUSG00000094669",0,0,0,0,0,0,0
"ENSMUSG00000094670",0,0,0,0,0,0,0
"ENSMUSG00000094672",0,0,0,0,0,0,0
"ENSMUSG00000094673",0,0,0,0,0,0,0
"ENSMUSG00000094675",0,0,0,0,0,0,0
"ENSMUSG00000094676",0,0,0,0,0,0,0
"ENSMUSG00000094677",0,0,0,1,0,0,0
"ENSMUSG00000094678",2,0,1,0,1,0,0
"ENSMUSG00000094679",0,0,0,0,0,0,0
"ENSMUSG00000094680",0,0,0,0,0,0,0
"ENSMUSG00000094681",0,0,0,0,0,0,0
"ENSMUSG00000094682",0,0,0,0,0,0,0
"ENSMUSG00000094683",2,1,1,2,1,1,1
"ENSMUSG00000094684",0,0,0,0,0,0,0
"ENSMUSG00000094685",90,126,114,203,151,167,127
"ENSMUSG00000094686",0,0,0,0,0,0,0
"ENSMUSG00000094687",0,0,0,0,0,0,0
"ENSMUSG00000094688",0,0,0,0,0,0,0
"ENSMUSG00000094689",5,0,0,2,5,0,17
"ENSMUSG00000094690",0,4,1,0,2,1,0
"ENSMUSG00000094691",0,0,0,0,0,0,0
"ENSMUSG00000094692",0,0,0,0,0,0,0
"ENSMUSG00000094693",0,0,0,0,0,0,0
"ENSMUSG00000094694",0,0,0,2,0,0,3
"ENSMUSG00000094695",0,0,0,0,0,0,0
"ENSMUSG00000094696",0,0,0,0,0,0,0
"ENSMUSG00000094697",0,0,0,0,1,0,0
"ENSMUSG00000094698",0,0,0,0,0,0,0
"ENSMUSG00000094699",0,0,0,0,0,0,0
"ENSMUSG00000094700",0,0,0,0,0,0,0
"ENSMUSG00000094701",0,0,0,0,0,0,0
"ENSMUSG00000094702",0,0,0,0,0,0,0
"ENSMUSG00000094703",0,0,0,0,0,0,0
"ENSMUSG00000094704",0,0,0,0,0,0,0
"ENSMUSG00000094706",0,0,0,0,0,0,0
"ENSMUSG00000094707",0,1,1,7,1,3,0
"ENSMUSG00000094708",0,0,0,0,0,1,0
"ENSMUSG00000094709",0,0,0,0,0,0,0
"ENSMUSG00000094710",0,0,0,0,0,0,0
"ENSMUSG00000094712",0,0,0,0,0,0,0
"ENSMUSG00000094713",0,0,0,0,0,0,0
"ENSMUSG00000094714",0,0,0,0,0,0,0
"ENSMUSG00000094715",0,0,0,0,0,0,0
"ENSMUSG00000094717",0,0,0,0,0,0,0
"ENSMUSG00000094718",0,0,0,0,0,0,0
"ENSMUSG00000094719",0,0,0,0,0,0,0
"ENSMUSG00000094720",0,0,0,0,0,0,0
"ENSMUSG00000094721",0,0,0,0,0,0,0
"ENSMUSG00000094722",0,0,0,0,0,0,0
"ENSMUSG00000094723",0,0,0,0,0,0,0
"ENSMUSG00000094724",61,8,5,9,11,10,5
"ENSMUSG00000094725",0,0,0,0,0,0,0
"ENSMUSG00000094726",0,0,0,0,0,0,0
"ENSMUSG00000094727",0,0,0,0,0,0,0
"ENSMUSG00000094728",0,0,0,0,0,0,0
"ENSMUSG00000094729",0,0,0,0,0,0,0
"ENSMUSG00000094730",0,1,0,0,0,0,0
"ENSMUSG00000094732",0,0,0,0,0,0,0
"ENSMUSG00000094733",0,0,0,0,0,2,0
"ENSMUSG00000094734",0,0,0,0,0,0,0
"ENSMUSG00000094735",0,0,0,0,0,0,0
"ENSMUSG00000094736",0,0,0,0,0,0,0
"ENSMUSG00000094737",0,0,0,0,0,0,0
"ENSMUSG00000094738",0,0,0,0,0,0,0
"ENSMUSG00000094739",0,0,0,0,0,0,0
"ENSMUSG00000094740",0,0,0,0,0,0,0
"ENSMUSG00000094741",0,0,0,0,0,0,0
"ENSMUSG00000094743",0,0,0,0,0,0,0
"ENSMUSG00000094745",0,0,0,0,0,0,0
"ENSMUSG00000094746",0,0,0,0,0,0,0
"ENSMUSG00000094747",0,0,0,0,0,0,0
"ENSMUSG00000094748",0,0,0,0,0,0,0
"ENSMUSG00000094750",0,0,0,0,0,0,0
"ENSMUSG00000094751",0,0,0,0,0,0,0
"ENSMUSG00000094752",0,0,0,0,0,0,0
"ENSMUSG00000094753",0,0,0,0,0,0,0
"ENSMUSG00000094754",3,0,0,0,0,0,0
"ENSMUSG00000094755",0,0,0,0,0,0,0
"ENSMUSG00000094757",0,0,0,0,0,0,0
"ENSMUSG00000094758",0,0,0,0,0,0,0
"ENSMUSG00000094759",0,0,0,0,0,0,0
"ENSMUSG00000094760",0,0,0,0,0,0,0
"ENSMUSG00000094762",0,0,0,0,0,0,0
"ENSMUSG00000094763",0,0,0,0,0,1,0
"ENSMUSG00000094764",0,0,0,0,0,0,0
"ENSMUSG00000094765",0,0,0,0,0,0,0
"ENSMUSG00000094766",0,0,0,0,0,0,0
"ENSMUSG00000094767",0,0,0,0,0,0,0
"ENSMUSG00000094768",0,0,0,0,0,0,0
"ENSMUSG00000094771",0,0,0,0,0,0,0
"ENSMUSG00000094772",15,22,25,4,3,3,2
"ENSMUSG00000094773",0,0,0,0,0,0,0
"ENSMUSG00000094775",0,0,0,0,0,0,0
"ENSMUSG00000094777",0,0,0,0,0,0,0
"ENSMUSG00000094778",0,0,0,0,0,0,0
"ENSMUSG00000094779",0,0,0,0,0,0,0
"ENSMUSG00000094780",0,0,0,0,0,0,0
"ENSMUSG00000094782",0,0,0,0,0,0,0
"ENSMUSG00000094784",1,0,2,1,0,2,3
"ENSMUSG00000094785",0,0,0,0,0,0,0
"ENSMUSG00000094786",45,136,175,81,52,68,81
"ENSMUSG00000094787",2,0,0,2,0,0,0
"ENSMUSG00000094789",0,0,0,0,0,0,0
"ENSMUSG00000094790",1,0,1,0,1,1,0
"ENSMUSG00000094791",0,0,0,0,0,0,0
"ENSMUSG00000094792",0,0,0,0,0,0,0
"ENSMUSG00000094793",0,0,0,0,0,0,0
"ENSMUSG00000094794",0,0,0,0,0,0,0
"ENSMUSG00000094796",0,1,1,32,26,36,21
"ENSMUSG00000094797",1,22,0,3,28,7,13
"ENSMUSG00000094798",0,0,0,0,0,0,0
"ENSMUSG00000094799",0,0,0,0,0,0,0
"ENSMUSG00000094800",0,0,0,0,0,0,0
"ENSMUSG00000094801",0,0,0,0,0,0,0
"ENSMUSG00000094802",0,0,0,0,0,0,0
"ENSMUSG00000094803",0,0,0,0,0,0,0
"ENSMUSG00000094804",0,0,0,1,0,0,0
"ENSMUSG00000094805",0,0,0,0,0,0,0
"ENSMUSG00000094806",2,8,0,1,0,5,0
"ENSMUSG00000094807",0,0,0,0,0,0,0
"ENSMUSG00000094808",0,0,0,0,0,0,0
"ENSMUSG00000094810",0,0,0,0,0,0,0
"ENSMUSG00000094811",0,0,0,1,0,0,0
"ENSMUSG00000094812",0,0,0,0,0,0,0
"ENSMUSG00000094813",0,0,0,0,0,0,0
"ENSMUSG00000094814",0,0,0,0,0,0,0
"ENSMUSG00000094815",0,0,0,1,3,3,0
"ENSMUSG00000094817",0,0,0,0,0,0,0
"ENSMUSG00000094818",0,0,0,0,0,0,0
"ENSMUSG00000094819",0,0,0,0,0,0,0
"ENSMUSG00000094820",0,0,0,0,0,0,0
"ENSMUSG00000094821",0,0,0,0,0,0,0
"ENSMUSG00000094822",0,0,0,0,0,0,0
"ENSMUSG00000094823",0,0,0,0,0,0,0
"ENSMUSG00000094824",0,0,0,1,0,0,0
"ENSMUSG00000094825",0,0,0,0,0,0,0
"ENSMUSG00000094826",0,0,0,0,0,0,0
"ENSMUSG00000094827",0,1,0,0,0,0,0
"ENSMUSG00000094828",1,0,0,0,1,1,1
"ENSMUSG00000094829",0,0,0,0,0,0,0
"ENSMUSG00000094830",0,0,0,0,0,0,0
"ENSMUSG00000094831",0,0,0,0,0,0,0
"ENSMUSG00000094832",0,0,0,0,0,0,0
"ENSMUSG00000094833",0,0,0,0,0,0,0
"ENSMUSG00000094834",0,0,0,0,0,0,0
"ENSMUSG00000094836",0,0,0,0,0,0,0
"ENSMUSG00000094837",0,0,0,0,0,0,0
"ENSMUSG00000094838",0,0,0,0,0,0,0
"ENSMUSG00000094840",6,7,5,15,10,11,9
"ENSMUSG00000094841",0,0,0,2,2,0,0
"ENSMUSG00000094842",0,0,0,0,0,0,0
"ENSMUSG00000094843",0,0,0,0,0,0,0
"ENSMUSG00000094844",0,0,0,0,1,0,0
"ENSMUSG00000094845",2,3,1,19,11,22,8
"ENSMUSG00000094846",0,0,0,0,0,0,0
"ENSMUSG00000094847",0,0,0,0,0,0,0
"ENSMUSG00000094848",0,0,0,0,0,0,0
"ENSMUSG00000094849",1,0,0,0,0,0,0
"ENSMUSG00000094850",0,0,0,0,0,0,0
"ENSMUSG00000094852",3,4,8,4,3,3,3
"ENSMUSG00000094854",0,0,0,0,0,0,0
"ENSMUSG00000094855",0,0,0,0,0,0,0
"ENSMUSG00000094856",0,0,0,0,0,0,0
"ENSMUSG00000094858",0,0,0,0,0,0,0
"ENSMUSG00000094860",0,0,0,0,0,0,0
"ENSMUSG00000094861",0,0,0,0,0,0,0
"ENSMUSG00000094862",0,0,0,1,0,1,0
"ENSMUSG00000094864",0,0,0,0,0,0,0
"ENSMUSG00000094865",0,0,0,0,0,0,0
"ENSMUSG00000094866",0,0,0,0,0,0,0
"ENSMUSG00000094867",0,0,0,0,0,0,0
"ENSMUSG00000094868",0,0,0,0,0,0,0
"ENSMUSG00000094869",0,0,0,0,0,0,0
"ENSMUSG00000094870",495,424,463,1062,800,778,619
"ENSMUSG00000094872",1,1,2,7,0,12,8
"ENSMUSG00000094873",0,0,0,0,0,0,0
"ENSMUSG00000094874",0,0,0,0,0,0,0
"ENSMUSG00000094875",0,0,0,0,0,0,0
"ENSMUSG00000094876",0,0,0,0,0,0,0
"ENSMUSG00000094877",0,0,0,0,0,0,0
"ENSMUSG00000094878",0,0,0,0,0,0,0
"ENSMUSG00000094879",0,0,0,0,0,0,0
"ENSMUSG00000094880",0,0,0,0,0,0,0
"ENSMUSG00000094881",0,0,0,0,0,0,0
"ENSMUSG00000094883",0,0,0,0,0,0,0
"ENSMUSG00000094884",0,0,0,0,0,0,0
"ENSMUSG00000094885",0,0,0,0,0,0,0
"ENSMUSG00000094886",0,0,0,0,0,0,0
"ENSMUSG00000094887",0,0,0,0,0,0,0
"ENSMUSG00000094888",0,0,0,0,0,0,0
"ENSMUSG00000094889",0,0,0,0,0,0,0
"ENSMUSG00000094890",0,0,0,0,0,0,0
"ENSMUSG00000094891",0,0,0,0,0,0,0
"ENSMUSG00000094892",0,0,0,0,0,0,0
"ENSMUSG00000094893",0,0,0,0,0,0,0
"ENSMUSG00000094894",0,0,0,0,0,0,0
"ENSMUSG00000094895",0,0,0,0,0,0,0
"ENSMUSG00000094896",0,0,0,0,0,0,0
"ENSMUSG00000094897",0,0,0,0,0,0,0
"ENSMUSG00000094898",0,0,0,0,0,0,0
"ENSMUSG00000094901",0,0,0,0,0,0,0
"ENSMUSG00000094902",0,0,0,0,0,0,0
"ENSMUSG00000094903",0,0,0,0,0,0,0
"ENSMUSG00000094904",0,0,0,0,0,0,0
"ENSMUSG00000094905",0,0,0,0,0,0,0
"ENSMUSG00000094906",0,0,0,0,0,0,0
"ENSMUSG00000094910",151,180,65,370,241,206,217
"ENSMUSG00000094911",0,0,0,0,0,0,0
"ENSMUSG00000094912",0,0,0,0,0,0,0
"ENSMUSG00000094913",0,0,0,0,0,0,0
"ENSMUSG00000094914",0,0,0,0,0,0,0
"ENSMUSG00000094915",0,0,0,0,0,0,0
"ENSMUSG00000094916",0,0,0,0,0,0,0
"ENSMUSG00000094917",0,0,0,0,0,0,0
"ENSMUSG00000094918",2,0,1,0,0,0,0
"ENSMUSG00000094919",0,0,0,0,0,0,0
"ENSMUSG00000094920",0,0,0,0,1,0,0
"ENSMUSG00000094921",0,0,0,0,0,0,0
"ENSMUSG00000094922",0,0,0,0,0,0,0
"ENSMUSG00000094923",0,0,0,0,0,0,0
"ENSMUSG00000094925",0,0,0,2,0,0,0
"ENSMUSG00000094926",0,0,0,0,0,0,0
"ENSMUSG00000094927",0,0,0,0,0,0,0
"ENSMUSG00000094928",0,1,0,1,0,2,0
"ENSMUSG00000094929",0,0,0,0,0,0,0
"ENSMUSG00000094930",0,2,1,13,4,3,5
"ENSMUSG00000094931",0,0,0,0,0,0,0
"ENSMUSG00000094932",0,0,0,0,0,0,0
"ENSMUSG00000094933",0,0,0,0,0,0,0
"ENSMUSG00000094934",0,0,0,0,0,0,0
"ENSMUSG00000094935",4,5,7,6,11,9,2
"ENSMUSG00000094936",50,45,44,92,58,75,79
"ENSMUSG00000094937",0,0,0,0,0,0,0
"ENSMUSG00000094938",0,1,0,0,0,0,0
"ENSMUSG00000094939",0,0,0,0,0,0,0
"ENSMUSG00000094940",0,3,1,0,8,1,1
"ENSMUSG00000094941",0,0,0,0,0,0,0
"ENSMUSG00000094942",26,29,17,57,65,54,54
"ENSMUSG00000094943",0,0,0,0,0,0,0
"ENSMUSG00000094945",0,0,0,0,0,0,0
"ENSMUSG00000094946",0,0,0,0,0,0,0
"ENSMUSG00000094947",0,0,0,1,0,0,0
"ENSMUSG00000094948",0,0,0,0,0,0,0
"ENSMUSG00000094949",0,0,0,0,0,0,0
"ENSMUSG00000094950",0,0,0,0,0,0,0
"ENSMUSG00000094951",0,1,0,1,1,0,1
"ENSMUSG00000094952",0,0,0,0,0,0,0
"ENSMUSG00000094954",0,0,0,0,0,0,0
"ENSMUSG00000094955",1,1,1,0,4,2,1
"ENSMUSG00000094956",0,0,0,0,0,0,0
"ENSMUSG00000094957",0,0,0,0,0,0,0
"ENSMUSG00000094958",3,3,4,9,1,3,1
"ENSMUSG00000094959",0,0,0,0,0,0,0
"ENSMUSG00000094960",0,0,0,0,0,0,0
"ENSMUSG00000094962",0,0,0,0,0,0,0
"ENSMUSG00000094963",0,0,0,0,0,0,0
"ENSMUSG00000094964",0,0,0,0,0,0,0
"ENSMUSG00000094965",0,0,0,0,0,0,0
"ENSMUSG00000094966",0,0,0,0,1,0,0
"ENSMUSG00000094967",0,0,0,0,0,0,0
"ENSMUSG00000094968",0,0,0,0,0,0,0
"ENSMUSG00000094969",0,0,0,0,0,0,0
"ENSMUSG00000094970",0,0,0,0,0,0,0
"ENSMUSG00000094971",0,0,0,0,0,0,0
"ENSMUSG00000094972",0,0,0,0,0,0,0
"ENSMUSG00000094973",0,0,0,0,1,0,0
"ENSMUSG00000094974",0,0,0,0,0,0,0
"ENSMUSG00000094975",0,0,0,0,0,0,0
"ENSMUSG00000094976",0,0,0,0,0,0,0
"ENSMUSG00000094977",0,0,0,0,1,0,0
"ENSMUSG00000094978",0,0,0,0,0,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0
"ENSMUSG00000094980",0,0,0,0,0,0,0
"ENSMUSG00000094981",0,0,0,0,0,0,0
"ENSMUSG00000094982",0,0,0,0,0,0,0
"ENSMUSG00000094983",0,0,0,0,0,0,0
"ENSMUSG00000094985",0,0,1,0,0,0,0
"ENSMUSG00000094986",0,0,0,0,0,0,0
"ENSMUSG00000094987",0,0,0,0,0,0,0
"ENSMUSG00000094989",0,0,0,0,1,0,0
"ENSMUSG00000094991",0,0,0,0,0,0,0
"ENSMUSG00000094992",0,8,5,0,0,0,0
"ENSMUSG00000094993",0,0,0,0,0,0,0
"ENSMUSG00000094994",0,0,0,0,0,0,0
"ENSMUSG00000094995",2,4,0,1,0,1,0
"ENSMUSG00000094997",0,0,0,0,0,0,0
"ENSMUSG00000094998",0,0,0,0,0,0,0
"ENSMUSG00000094999",0,0,0,0,0,0,0
"ENSMUSG00000095000",0,0,0,0,0,0,0
"ENSMUSG00000095002",0,0,0,0,0,0,0
"ENSMUSG00000095003",0,0,0,0,0,0,0
"ENSMUSG00000095005",0,0,0,0,0,0,0
"ENSMUSG00000095006",0,0,0,0,0,0,0
"ENSMUSG00000095007",0,5,5,0,9,3,3
"ENSMUSG00000095008",0,0,0,0,0,0,0
"ENSMUSG00000095009",0,0,0,0,0,0,0
"ENSMUSG00000095010",0,0,0,0,0,0,0
"ENSMUSG00000095011",0,0,0,0,0,0,0
"ENSMUSG00000095015",0,0,0,0,0,0,0
"ENSMUSG00000095016",0,0,0,0,0,0,0
"ENSMUSG00000095017",0,0,0,0,0,0,0
"ENSMUSG00000095019",0,0,0,0,0,0,0
"ENSMUSG00000095020",0,0,0,0,0,0,0
"ENSMUSG00000095021",0,0,0,0,0,0,0
"ENSMUSG00000095022",0,0,0,0,0,0,0
"ENSMUSG00000095023",0,0,0,0,0,0,0
"ENSMUSG00000095024",0,0,0,0,0,0,0
"ENSMUSG00000095025",1,0,0,0,0,1,0
"ENSMUSG00000095026",42,48,56,36,21,36,43
"ENSMUSG00000095027",0,0,0,0,0,0,0
"ENSMUSG00000095028",1,0,0,28,14,21,26
"ENSMUSG00000095029",0,0,0,1,0,1,5
"ENSMUSG00000095030",0,0,0,0,0,0,0
"ENSMUSG00000095031",0,0,0,0,0,0,0
"ENSMUSG00000095032",0,0,0,0,0,0,0
"ENSMUSG00000095033",0,0,0,0,0,0,0
"ENSMUSG00000095034",0,0,0,0,0,0,0
"ENSMUSG00000095035",0,0,0,0,0,0,0
"ENSMUSG00000095037",0,0,0,0,0,0,0
"ENSMUSG00000095040",10,15,30,14,5,22,16
"ENSMUSG00000095041",1808,1642,1409,5886,3940,4793,4404
"ENSMUSG00000095042",8,1,7,6,4,2,6
"ENSMUSG00000095044",0,0,0,0,0,0,0
"ENSMUSG00000095045",0,0,0,0,0,0,0
"ENSMUSG00000095047",0,0,0,0,0,0,0
"ENSMUSG00000095048",0,0,0,0,0,0,0
"ENSMUSG00000095049",0,0,0,0,0,0,0
"ENSMUSG00000095051",0,0,0,0,0,0,0
"ENSMUSG00000095052",0,0,0,0,0,0,0
"ENSMUSG00000095053",0,0,0,0,0,0,0
"ENSMUSG00000095054",0,0,1,3,1,1,2
"ENSMUSG00000095056",0,0,0,0,0,0,0
"ENSMUSG00000095057",0,0,0,0,0,0,0
"ENSMUSG00000095059",0,0,0,0,0,0,0
"ENSMUSG00000095060",0,0,0,0,0,0,0
"ENSMUSG00000095061",6,5,6,2,3,2,3
"ENSMUSG00000095063",0,0,0,0,0,0,0
"ENSMUSG00000095064",0,0,0,0,0,0,0
"ENSMUSG00000095065",0,0,0,0,0,0,0
"ENSMUSG00000095066",0,0,0,0,0,0,0
"ENSMUSG00000095068",0,0,0,0,0,0,0
"ENSMUSG00000095069",0,0,0,0,0,0,0
"ENSMUSG00000095070",0,0,0,0,0,0,0
"ENSMUSG00000095071",0,0,0,0,1,0,0
"ENSMUSG00000095072",0,0,0,0,0,0,0
"ENSMUSG00000095073",0,0,0,0,0,0,0
"ENSMUSG00000095074",0,0,0,0,0,0,0
"ENSMUSG00000095075",0,0,0,0,0,0,0
"ENSMUSG00000095076",0,0,0,0,0,0,0
"ENSMUSG00000095078",0,0,0,0,0,0,0
"ENSMUSG00000095079",161,1513,261,1105,3513,2201,2420
"ENSMUSG00000095081",0,0,0,0,0,0,0
"ENSMUSG00000095082",0,0,0,0,0,0,0
"ENSMUSG00000095085",0,0,0,0,0,0,0
"ENSMUSG00000095086",0,0,0,0,0,0,0
"ENSMUSG00000095087",0,0,3,4,4,3,4
"ENSMUSG00000095088",0,0,0,0,0,0,0
"ENSMUSG00000095089",0,0,0,0,0,0,0
"ENSMUSG00000095091",0,0,0,0,0,0,0
"ENSMUSG00000095092",0,0,0,0,0,0,0
"ENSMUSG00000095093",0,0,0,0,0,0,0
"ENSMUSG00000095094",0,0,0,0,0,0,0
"ENSMUSG00000095095",0,0,0,0,0,0,0
"ENSMUSG00000095096",0,0,0,0,0,0,0
"ENSMUSG00000095097",0,0,0,0,0,0,0
"ENSMUSG00000095098",349,349,566,853,648,830,449
"ENSMUSG00000095100",0,0,0,0,0,0,0
"ENSMUSG00000095101",0,0,0,0,0,0,0
"ENSMUSG00000095102",0,0,0,0,0,0,0
"ENSMUSG00000095103",0,0,0,0,0,0,0
"ENSMUSG00000095104",0,0,0,0,0,0,0
"ENSMUSG00000095105",61,82,52,196,186,234,173
"ENSMUSG00000095107",0,0,0,0,0,0,0
"ENSMUSG00000095108",0,0,0,0,0,0,0
"ENSMUSG00000095110",0,0,0,0,0,0,0
"ENSMUSG00000095111",0,0,0,0,0,0,0
"ENSMUSG00000095112",0,0,0,0,0,0,0
"ENSMUSG00000095113",0,0,0,0,0,0,0
"ENSMUSG00000095115",319,395,272,2735,1641,1712,1721
"ENSMUSG00000095116",0,0,0,0,0,1,0
"ENSMUSG00000095117",0,0,0,0,0,0,0
"ENSMUSG00000095118",0,0,0,0,0,0,0
"ENSMUSG00000095119",0,0,0,0,0,0,0
"ENSMUSG00000095121",0,0,0,0,0,0,0
"ENSMUSG00000095122",1,0,0,0,0,0,0
"ENSMUSG00000095123",321,332,350,777,680,828,687
"ENSMUSG00000095125",0,0,0,0,0,0,0
"ENSMUSG00000095126",0,0,0,0,0,0,0
"ENSMUSG00000095127",0,19,3,6,26,1,5
"ENSMUSG00000095128",0,0,0,0,0,0,0
"ENSMUSG00000095129",1,0,0,0,1,0,0
"ENSMUSG00000095130",0,6,0,0,12,3,1
"ENSMUSG00000095131",0,0,0,0,0,0,0
"ENSMUSG00000095132",0,0,0,0,0,0,0
"ENSMUSG00000095133",0,0,0,0,0,0,0
"ENSMUSG00000095134",0,0,0,0,2,1,0
"ENSMUSG00000095135",0,0,0,0,0,0,0
"ENSMUSG00000095136",0,0,0,0,0,0,0
"ENSMUSG00000095137",0,0,0,0,0,0,0
"ENSMUSG00000095138",0,0,0,0,0,0,0
"ENSMUSG00000095139",0,0,0,0,0,0,0
"ENSMUSG00000095140",0,0,0,0,0,0,0
"ENSMUSG00000095141",0,0,0,0,0,0,0
"ENSMUSG00000095142",0,0,0,0,0,0,0
"ENSMUSG00000095143",0,0,0,0,0,0,0
"ENSMUSG00000095146",0,0,0,0,0,0,0
"ENSMUSG00000095147",0,0,0,0,0,0,0
"ENSMUSG00000095148",0,0,0,0,0,0,0
"ENSMUSG00000095149",0,0,0,0,0,0,0
"ENSMUSG00000095150",0,0,0,0,0,0,0
"ENSMUSG00000095151",0,0,0,0,0,0,0
"ENSMUSG00000095152",0,0,0,0,0,0,0
"ENSMUSG00000095153",0,0,0,0,0,0,0
"ENSMUSG00000095154",0,0,0,0,0,0,0
"ENSMUSG00000095155",0,0,0,0,0,0,0
"ENSMUSG00000095156",0,0,0,0,0,0,0
"ENSMUSG00000095159",1,1,1,0,3,1,2
"ENSMUSG00000095160",0,0,0,0,1,0,0
"ENSMUSG00000095161",0,0,0,0,0,0,0
"ENSMUSG00000095163",0,0,0,0,0,0,0
"ENSMUSG00000095165",0,3,0,1,0,1,0
"ENSMUSG00000095168",7,5,4,2,0,1,0
"ENSMUSG00000095169",0,2,0,1,0,0,0
"ENSMUSG00000095170",0,0,0,1,0,1,0
"ENSMUSG00000095171",0,0,0,0,0,0,0
"ENSMUSG00000095172",0,0,0,0,0,0,0
"ENSMUSG00000095174",0,0,0,0,4,4,2
"ENSMUSG00000095175",0,0,0,0,0,0,0
"ENSMUSG00000095176",0,0,0,0,0,0,0
"ENSMUSG00000095178",6,5,5,2,6,10,6
"ENSMUSG00000095179",0,0,0,0,0,0,0
"ENSMUSG00000095180",0,0,0,0,2,0,0
"ENSMUSG00000095182",0,0,0,0,0,0,0
"ENSMUSG00000095183",0,0,0,0,0,0,0
"ENSMUSG00000095184",0,0,0,0,0,1,0
"ENSMUSG00000095185",0,0,0,0,0,0,0
"ENSMUSG00000095186",0,0,0,1,0,0,0
"ENSMUSG00000095187",0,0,0,0,0,0,0
"ENSMUSG00000095188",0,0,0,0,0,0,0
"ENSMUSG00000095189",0,0,0,0,0,0,0
"ENSMUSG00000095190",0,0,0,0,0,0,0
"ENSMUSG00000095191",0,0,0,0,0,0,0
"ENSMUSG00000095192",0,0,0,0,0,0,0
"ENSMUSG00000095193",29,14,5,36,42,36,28
"ENSMUSG00000095194",0,0,0,0,0,0,0
"ENSMUSG00000095195",0,0,0,0,0,0,0
"ENSMUSG00000095196",0,0,0,0,0,0,0
"ENSMUSG00000095197",0,0,0,0,0,0,0
"ENSMUSG00000095198",0,0,0,0,0,0,0
"ENSMUSG00000095199",0,0,0,0,0,0,0
"ENSMUSG00000095200",0,0,1,0,5,1,2
"ENSMUSG00000095201",0,0,0,0,0,0,0
"ENSMUSG00000095202",0,0,0,0,0,0,0
"ENSMUSG00000095203",0,0,0,0,0,0,0
"ENSMUSG00000095204",0,0,0,0,2,3,0
"ENSMUSG00000095205",1,1,0,9,10,2,3
"ENSMUSG00000095206",0,0,0,0,0,0,0
"ENSMUSG00000095207",0,0,0,0,0,0,0
"ENSMUSG00000095209",0,0,0,0,0,0,0
"ENSMUSG00000095210",0,2,0,6,7,2,4
"ENSMUSG00000095212",0,0,0,0,0,0,0
"ENSMUSG00000095213",0,0,0,0,0,0,0
"ENSMUSG00000095214",0,0,0,0,0,0,0
"ENSMUSG00000095217",0,0,0,0,0,2,0
"ENSMUSG00000095218",0,0,0,0,0,0,1
"ENSMUSG00000095220",0,0,0,0,0,0,0
"ENSMUSG00000095221",0,0,0,0,0,0,0
"ENSMUSG00000095222",0,0,0,0,0,0,0
"ENSMUSG00000095224",0,1,1,0,1,0,0
"ENSMUSG00000095226",0,0,0,0,0,0,0
